pl_name, points, dist(pa), ra(deg), dec(deg), magn, mas
CoRoT-26 b,2.9311270125223614,1045.1800000,279.7504991,6.9697828,28.830062684156417,0.05032625959164928,
CoRoT-27 b,2.34258459861773,1010.2800000,278.4958319,5.5383811,29.01244958534582,0.04711565110662391,
CoRoT-28 b,3.0533980582524274,766.1830000,278.6883216,5.5736911,27.649960649515116,0.07870182449884688,
CoRoT-29 b,2.6510144036817325,806.5070000,278.9020691,6.4795703,28.435218602500292,0.04786071292623623,
CoRoT-3 b,1.6642263179471872,768.7710000,292.0552827,0.1218359,no data,no data,
CoRoT-30 b,3.10646698473864,1032.2300000,277.6011767,6.8359338,30.04870665546764,0.08176472297840598,
CoRoT-31 b,2.9035087719298245,2005.7600000,94.8207350,-4.4222978,28.36221547883698,0.029215858328015317,
CoRoT-35 b,2.7519561815336466,1123.2100000,289.3143526,-2.7747085,27.536226991038397,0.03819410439721869,
CoRoT-36 b,2.6887072808320953,925.9580000,277.7510149,7.1833465,26.343054623797997,0.07127753094632804,
CoRoT-4 b,2.7924071082390953,726.4120000,102.1946233,-0.6727861,27.910740846260616,0.12389663166357381,
CoRoT-5 b,2.8114754098360653,882.4720000,101.2772396,0.8152163,26.66824816302257,0.05605843584838952,
CoRoT-6 b,2.7013058742363576,645.2940000,281.0725563,6.6632062,28.153092391590505,0.13249774521380953,
CoRoT-7 b,6.733017378283346,159.9060000,100.9561682,-1.0630076,no data,no data,
CoRoT-7 c,3.5220700152207,159.9060000,100.9561682,-1.0630076,no data,0.2876690055407552,
CoRoT-7 d,3.5238095238095237,159.9060000,100.9561682,-1.0630076,no data,no data,
CoRoT-8 b,3.074803149606299,322.0370000,291.5885696,1.4262972,29.874505903442554,0.19562969472451924,
CoRoT-9 b,5.586507936507936,412.9800000,280.7866461,6.2040783,31.385320006836245,0.9736548985423024,
CoRoTID 223977153 b,2.840033500837521,576.6830000,100.1951714,9.2573953,28.96843474990132,0.12311790012884026,
DE CVn b,0,30.5225000,201.7207198,45.5455449,no data,188.38561716766318,
DENIS-P J082303.1-491201 b,0,,125.7620668,-49.2003008,no data,no data,
DH Tau b,0,134.8460000,67.4231674,26.5493897,no data,2447.2361063731964,
DMPP-1 b,4.2911555842479014,62.5388000,86.7761233,-10.6303217,no data,2.337748725591153,
DMPP-1 c,4.2911555842479014,62.5388000,86.7761233,-10.6303217,no data,1.1720723774680677,
DMPP-1 d,4.2911555842479014,62.5388000,86.7761233,-10.6303217,no data,0.674781095895668,
DMPP-1 e,4.2911555842479014,62.5388000,86.7761233,-10.6303217,no data,1.040953775895924,
DMPP-2 b,1.2307692307692308,137.9400000,27.4077310,-34.4590985,no data,0.4813687110337828,
DMPP-3 A b,1.5570260801868432,45.2300000,91.6243820,-72.5126648,no data,1.463630333849215,
DMPP-4 b,1.25,25.3284000,293.5826648,51.2358069,no data,1.916031016566384,
DP Leo b,0,305.6840000,169.3162193,17.9615717,no data,26.79237382394891,
DS Tuc A b,1.4738393515106853,44.0622000,354.9154673,-69.1960430,no data,no data,
EPIC 201170410.02,2,,170.1408561,-4.8070039,35.42610117336833,no data,
EPIC 201238110 b,0,159.2590000,179.7058532,-3.3894613,no data,no data,
EPIC 201427007 b,1.4202023788389846,706.3910000,184.6021322,-0.5512886,no data,no data,
EPIC 201497682 b,0,253.0260000,168.9366786,0.4880606,no data,no data,
EPIC 201595106 b,1.3745704467353952,232.1000000,183.7203635,1.9681688,no data,no data,
EPIC 201615463 c,1,476.8820000,185.1880932,2.2823788,no data,no data,
EPIC 201754305 d,2,334.9670000,175.0972238,4.5574311,no data,no data,
EPIC 201757695.02,1.7699115044247788,,173.9385102,4.6164303,32.653336759655915,no data,
EPIC 201833600 c,1,257.4430000,169.4836540,5.9882890,no data,no data,
EPIC 201841433 b,1.583217890362161,436.4880000,175.2067520,6.1348146,32.73148097222412,0.08018548047139899,
